chain_key,store_key,city,province,category,recipe,product_key,size,crust,price,date_key,month,year
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Ranch,DP_16SCCBRAN,"16""",HANDTOSS,33.24,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Chicken Bacon Ranch,DP_16HTTCBRAN,"16""",HANDTOSSTHIN,33.24,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_10TDELUX,"10""",THIN,18.49,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_10SCDELUX,"10""",HANDTOSS,18.49,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_P10IGFDX,"10""",GLUTENF,18.49,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_12TDELUX,"12""",THIN,21.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_12SCDELUX,"12""",HANDTOSS,21.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_12HTTDELUX,"12""",HANDTOSSTHIN,21.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_12SFFDELUX,"12""",STUFFED,21.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_P12IPADX,"12""",NPAN,21.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_14TDELUX,"14""",THIN,25.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_14SCDELUX,"14""",HANDTOSS,25.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_14HTTDELUX,"14""",HANDTOSSTHIN,25.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_16SCDELUX,"16""",HANDTOSS,30.59,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Deluxe,DP_16HTTDELUX,"16""",HANDTOSSTHIN,30.59,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_10THAWIN,"10""",THIN,16.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_10SCHAWIN,"10""",HANDTOSS,16.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_P10IGFUH,"10""",GLUTENF,16.99,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_12THAWIN,"12""",THIN,20.49,2025-11-15,November,2025
DP,DP_10003,Whistler,BC,Pizza,Hawaiian,DP_12SCHAWIN,"12""",HANDTOSS,20.49,2025-11-15,November,2025
